last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Leake, Mike,502190,671,11.5,31.6,114.4,90.4,94.0,88.5,463,173,404,286,42.9,59,8.8,7.1
Gonzales, Marco,594835,657,14.6,32.1,112.9,88.0,93.0,84.6,447,172,395,222,35.0,34,5.2,3.9
Nova, Ivan,467100,635,10.3,34.6,118.9,88.1,93.2,84.4,440,160,396,243,38.4,46,7.2,5.7
Anderson, Brett,474463,600,4.5,30.5,115.1,88.8,94.6,85.6,455,142,417,239,39.8,44,7.3,5.9
Alcantara, Sandy,645261,598,11.0,29.9,111.7,86.7,92.3,82.6,444,164,404,205,34.3,39,6.5,4.7
Greinke, Zack,425844,589,10.3,34.1,114.0,86.8,91.7,83.3,432,165,398,193,32.8,37,6.3,4.6
Minor, Mike,501985,588,16.4,31.6,113.1,86.4,90.2,84.1,474,174,402,178,30.3,41,7.0,4.8
Bumgarner, Madison,518516,587,17.4,36.1,113.2,89.4,92.8,86.3,473,192,404,243,41.5,53,9.0,6.3
Berrios, Jose,621244,587,13.6,34.2,115.2,86.5,91.2,83.0,441,172,404,188,32.0,38,6.5,4.5
Wheeler, Zack,554430,580,11.5,34.5,117.6,86.2,90.4,83.0,447,167,404,187,32.2,31,5.3,3.7
Mikolas, Miles,571945,576,9.8,34.2,112.9,87.8,92.4,84.8,429,164,397,202,36.3,36,6.3,4.7
Porcello, Rick,519144,573,15.5,34.9,116.1,88.1,93.6,83.1,452,183,397,213,37.2,55,9.6,7.2
Tanaka, Masahiro,547888,568,10.9,33.1,113.0,88.7,93.2,86.2,455,160,404,212,37.5,35,6.2,4.6
Lopez, Reynaldo,625643,567,17.6,36.3,114.2,88.6,92.7,85.3,505,193,402,217,38.3,43,7.6,5.3
